Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
Vai De Bob,@vaidebob,2022-09-26T17:02:30.000Z,"A NATIONS LEAGUE NÃO PARA 

Curte acompanhar o melhor do futebol europeu? Então se liga que a Nations League continua! 

Hoje tem duelo entre campeãs do mundo! Inglaterra e Alemanha se enfrentam às 15h45.",1,,2
Wesley Maverick,@wesleyM081,2022-09-26T15:39:47.000Z,"O meio-campista 
@zarachomatiasf1
 está liberado pelo departamento médico e já treinou com o grupo esta manhã.

#atléticomineiro #futebol #Galo 

| 
@Atletico",,,1
Anne COMISSÕES ABERTAS!!!,@Anne_Mations,2022-09-25T23:40:37.000Z,"A época de deseinho de futebol tá chegando, e se a 
@cartoonnetwork
 não botar Sendokai, eu vou chorar muito. Mas muito mesmo.",6,4,18
Futebol real,@Futebolreal7,2022-09-25T23:03:21.000Z,Resumo de tudo que aconteceu nesta semana do futebol: ,1,1,1
Crise no Manaus,@crisenomfc,2022-09-26T18:28:32.000Z,"""ah mas o manaus não tem partido político, é um time de futebol""

me explica isso então",,,4
lopez,@_lopes1930,2022-09-26T19:59:40.000Z,são paulo futebol clube prioridade desde cedo ,,,
Planeta do Futebol,@futebol_info,2022-09-27T13:58:28.000Z,"Baixa procura por ingressos para a final da Sul-Americana entre São Paulo e Del Valle preocupa a Conmebol.

Há frustração principalmente porque o ingresso está mais barato: em 2021 custava US$ 100 (R$ 538). Hoje, custa US$ 57 (R$ 306).

 
@UOL
 | 
@marcrizzo
 Divulgação/Talleres",530,498,3.344
Jogada de camisa 10,@jogadadcamisa10,2022-09-27T14:17:52.000Z,"Espero que hoje seja um bom dia! #sdv
#futebol",,,
Matheus Queiroz,@QueirozMatheuss,2022-09-25T13:20:26.000Z,"Essa imagem além de linda representa e homenageia um dos caras que mais apoiou e incentivou o futebol feminino no Brasil, Luciano do Vale. Além de inesquecível é algo histórico!  #VaiCorinthians
#RespeitaAsMinas",5,19,107
Não gosto de futebol,@ibrahimovitor11,2022-09-27T01:46:55.000Z,"Obrigado pela janta de hoje, Alimentando Necessidade

#marmitaGate",,14,122
FREITASTIPS®,@FREITASTIPS,2022-09-27T12:29:51.000Z,"Bom dia!!!
Hoje tem 
@cbf_futebol
  
Montamos uma odd 2 pra esse jogo. 
Não vai perder essa oportunidade né",,,1
Canal 1914,@Canal1914,2022-09-26T22:42:33.000Z,"EXCLUSIVO!

Que a Cimed será o novo patrocinador do futebol do Palmeiras todo mundo sabe.

Mas o que eles vão patrocinar?

O Canal 1914 apurou detalhes desse patrocínio.

Não haverá divulgação da marca da empresa de remédios na camisa do time masculino.",1,4,2
Euro Fut | Futebol Europeu,@EuroFute,2022-09-26T20:44:43.000Z," Croácia
 Holanda
 Itália

Azzurra é a 3ª classificada pro ""Final 4"" da Nations League ",16,18,680
Corinthians Futebol Feminino,@SCCPFutFeminino,2022-09-27T14:03:39.000Z,"HOJE É DIA DAS BRABAS EM CAMPO! 

Bora colar na Fazendinha, Fiel!",7,60,685
Planeta do Futebol,@futebol_info,2022-09-27T12:06:13.000Z,"Douglas Luiz, do Aston Villa, não gostou do post de Milton Neves sobre sua namorada (também do Aston Villa):

“Você já velho e posta vídeo desrespeitando o futebol feminino e a atleta, que ainda por cima é minha namorada. Não aprender o que é respeito é sacanagem.”

 Reprodução",545,731,13 mil
MasterPT,@MasteringPT,2022-09-25T14:20:00.000Z,"A comunicação social em geral está condicionada aos superiores interesses de quem domina o futebol português como se de uma ditadura se tratasse. 

Basta! Está na hora de exibirmos o cartão vermelho aos que se subjugam a esses poderes.
#CancellaSportTV",169,465,1.816
gelosa,@gelinhaaa,2022-09-26T17:49:40.000Z,REPETE COMIGO ARGENTINA BRASIL MAIOR QUE ARGENTINA NO VÔLEI E NO FUTEBOL #VoleiNoSporTV,,4,28
